Quantity,Material Type,Grade/Finish,Length & Width (in),Gauge,Thickness (in),Cost Per lb (USD),Width (in),Length (in),Density (lb/in^3),Volume (in^3),Weight per Sheet (lb),Total Weight (lb),Total Cost
30,Brass,C260,48x72,25,0.0209,4.35,48.0,72.0,0.307,72.23039999999999,22.174732799999997,665.2419839999999,2893.802630399999
1,Aluminized Steel,Type 2,48x144,23,0.0269,1.02,48.0,144.0,0.284,185.93280000000001,52.804915199999996,52.804915199999996,53.861013504
26,Aluminum,6061-T6,60x120,29,0.0135,2.71,60.0,120.0,0.098,97.2,9.5256,247.6656,671.173776
45,Hot Rolled Steel,A1011,36x96,26,0.0179,0.67,36.0,96.0,0.284,61.862399999999994,17.568921599999996,790.6014719999998,529.70298624
4,Brass,C260,36x120,27,0.0164,4.85,36.0,120.0,0.307,70.848,21.750336,87.001344,421.9565184
19,Brass,C360,36x72,29,0.0135,3.81,36.0,72.0,0.307,34.992,10.742543999999999,204.10833599999998,777.65276016
22,Galvanized Steel,G60,36x96,22,0.0299,0.89,36.0,96.0,0.284,103.3344,29.346969599999998,645.6333311999999,574.6136647679999
10,Aluminized Steel,Type 2,24x48,14,0.0747,1.23,24.0,48.0,0.284,86.0544,24.4394496,244.394496,300.60523008
34,Brass,C260,72x144,20,0.0359,4.71,72.0,144.0,0.307,372.2112,114.2688384,3885.1405056000003,18299.011781376
50,Stainless Steel,316L,36x120,10,0.1345,3.43,36.0,120.0,0.289,581.0400000000001,167.92056000000002,8396.028000000002,28798.37604000001
14,Aluminum,6061-T6,36x96,19,0.0418,3.05,36.0,96.0,0.098,144.46079999999998,14.157158399999998,198.20021759999997,604.5106636799999
41,Copper,C122,72x144,19,0.0418,4.96,72.0,144.0,0.321,433.38239999999996,139.1157504,5703.745766399999,28290.579001344
37,Cold Rolled Steel,A1008,48x144,22,0.0299,0.83,48.0,144.0,0.284,206.6688,58.693939199999996,2171.6757503999997,1802.4908728319997
26,Aluminum,5052-H32,72x144,17,0.056,2.03,72.0,144.0,0.098,580.6080000000001,56.89958400000001,1479.3891840000003,3003.1600435200003
14,Hot Rolled Steel,A1011,72x144,26,0.0179,0.87,72.0,144.0,0.284,185.5872,52.706764799999995,737.8947072,641.9683952639999
22,Galvanized Steel,G60,24x48,11,0.1196,0.79,24.0,48.0,0.284,137.7792,39.129292799999995,860.8444415999999,680.0671088639999
14,Aluminum,6061-T6,36x120,17,0.056,1.81,36.0,120.0,0.098,241.92000000000002,23.708160000000003,331.91424000000006,600.7647744000001
36,Cold Rolled Steel,A1008,36x72,26,0.0179,0.52,36.0,72.0,0.284,46.3968,13.176691199999999,474.36088319999993,246.66765926399998
46,Copper,C110,36x96,10,0.1345,5.66,36.0,96.0,0.321,464.83200000000005,149.21107200000003,6863.709312000002,38848.59470592001
28,Aluminum,3003-H14,48x72,26,0.0179,3.0,48.0,72.0,0.098,61.862399999999994,6.0625152,169.7504256,509.2512768
19,Galvanized Steel,G90,36x72,25,0.0209,0.91,36.0,72.0,0.284,54.172799999999995,15.385075199999998,292.3164287999999,266.00795020799995
13,Cold Rolled Steel,A366,72x144,14,0.0747,0.54,72.0,144.0,0.284,774.4896,219.9550464,2859.4156031999996,1544.0844257279998
20,Aluminized Steel,Type 2,60x120,18,0.0478,0.85,60.0,120.0,0.284,344.16,97.74144,1954.8288,1661.60448
33,Hot Rolled Steel,A36,72x144,10,0.1345,0.85,72.0,144.0,0.284,1394.496,396.036864,13069.216511999999,11108.8340352
22,Cold Rolled Steel,A1008,36x120,29,0.0135,0.7,36.0,120.0,0.284,58.32,16.56288,364.38336,255.06835199999998
28,Cold Rolled Steel,A366,48x96,23,0.0269,0.69,48.0,96.0,0.284,123.9552,35.2032768,985.6917503999999,680.127307776
27,Galvanized Steel,G60,36x96,24,0.0239,0.99,36.0,96.0,0.284,82.5984,23.4579456,633.3645312,627.030885888
33,Galvanized Steel,G60,36x120,23,0.0269,1.01,36.0,120.0,0.284,116.208,33.003071999999996,1089.1013759999998,1099.99238976
23,Aluminum,5052-H32,48x144,23,0.0269,2.98,48.0,144.0,0.098,185.93280000000001,18.2214144,419.0925312,1248.895742976
30,Galvanized Steel,G90,48x120,26,0.0179,0.66,48.0,120.0,0.284,103.104,29.281535999999996,878.4460799999998,579.7744127999999
45,Copper,C110,60x144,14,0.0747,5.76,60.0,144.0,0.321,645.408,207.175968,9322.91856,53700.0109056
33,Brass,C360,48x72,19,0.0418,4.27,48.0,72.0,0.307,144.46079999999998,44.349465599999995,1463.5323647999999,6249.283197695999
37,Galvanized Steel,G90,24x48,11,0.1196,0.75,24.0,48.0,0.284,137.7792,39.129292799999995,1447.7838335999998,1085.8378751999999
46,Cold Rolled Steel,A1008,72x144,20,0.0359,0.78,72.0,144.0,0.284,372.2112,105.7079808,4862.5671168,3792.802351104
43,Aluminized Steel,Type 1,48x120,21,0.0329,1.18,48.0,120.0,0.284,189.504,53.81913599999999,2314.222848,2730.7829606399996
12,Brass,C360,36x120,19,0.0418,3.77,36.0,120.0,0.307,180.576,55.436831999999995,665.241984,2507.96227968
20,Aluminized Steel,Type 1,36x120,14,0.0747,0.93,36.0,120.0,0.284,322.704,91.64793599999999,1832.9587199999996,1704.6516095999998
45,Hot Rolled Steel,A1011,72x144,10,0.1345,0.66,72.0,144.0,0.284,1394.496,396.036864,17821.65888,11762.2948608
46,Galvanized Steel,G90,48x144,11,0.1196,0.72,48.0,144.0,0.284,826.6752,234.77575679999998,10799.684812799998,7775.773065215999
46,Aluminized Steel,Type 1,60x120,25,0.0209,0.86,60.0,120.0,0.284,150.48,42.73631999999999,1965.8707199999997,1690.6488191999997
8,Galvanized Steel,G60,48x72,21,0.0329,0.78,48.0,72.0,0.284,113.7024,32.2914816,258.3318528,201.498845184
32,Brass,C360,72x144,14,0.0747,4.11,72.0,144.0,0.307,774.4896,237.76830719999998,7608.585830399999,31271.287762944
48,Galvanized Steel,G90,36x72,17,0.056,0.75,36.0,72.0,0.284,145.15200000000002,41.223168,1978.712064,1484.034048
4,Copper,C122,72x144,14,0.0747,5.83,72.0,144.0,0.321,774.4896,248.6111616,994.4446464,5797.612288512
9,Copper,C110,72x144,27,0.0164,5.45,72.0,144.0,0.321,170.0352,54.581299200000004,491.2316928,2677.21272576
13,Copper,C122,24x48,27,0.0164,5.29,24.0,48.0,0.321,18.8928,6.0645888,78.8396544,417.061771776
20,Galvanized Steel,G60,72x144,19,0.0418,0.74,72.0,144.0,0.284,433.38239999999996,123.08060159999998,2461.6120319999995,1821.5929036799996
34,Aluminized Steel,Type 1,60x144,19,0.0418,0.94,60.0,144.0,0.284,361.152,102.56716799999998,3487.2837119999995,3278.046689279999
23,Brass,C260,60x120,11,0.1196,5.13,60.0,120.0,0.307,861.12,264.36384,6080.36832,31192.289481599997
8,Aluminum,3003-H14,48x120,25,0.0209,3.27,48.0,120.0,0.098,120.38399999999999,11.797631999999998,94.38105599999999,308.62605311999994
40,Aluminized Steel,Type 1,36x120,26,0.0179,1.14,36.0,120.0,0.284,77.328,21.961152,878.4460799999999,1001.4285311999998
24,Stainless Steel,304 #4 Finish,72x144,14,0.0747,4.15,72.0,144.0,0.289,774.4896,223.82749439999998,5371.8598655999995,22293.21844224
34,Hot Rolled Steel,A36,36x96,17,0.056,0.63,36.0,96.0,0.284,193.536,54.964223999999994,1868.7836159999997,1177.3336780799998
23,Hot Rolled Steel,A36,36x72,29,0.0135,0.73,36.0,72.0,0.284,34.992,9.937727999999998,228.56774399999995,166.85445311999996
33,Hot Rolled Steel,A36,36x96,26,0.0179,0.66,36.0,96.0,0.284,61.862399999999994,17.568921599999996,579.7744127999998,382.6511124479999
28,Hot Rolled Steel,A1011,48x72,24,0.0239,0.94,48.0,72.0,0.284,82.5984,23.4579456,656.8224768,617.4131281919999
25,Cold Rolled Steel,A1008,60x144,28,0.0149,0.52,60.0,144.0,0.284,128.736,36.561023999999996,914.0255999999999,475.29331199999996
31,Galvanized Steel,G60,60x144,23,0.0269,0.92,60.0,144.0,0.284,232.416,66.00614399999999,2046.1904639999998,1882.4952268799998
20,Hot Rolled Steel,A1011,48x144,18,0.0478,0.76,48.0,144.0,0.284,330.3936,93.8317824,1876.635648,1426.24309248
33,Hot Rolled Steel,A36,72x144,27,0.0164,0.94,72.0,144.0,0.284,170.0352,48.2899968,1593.5698943999998,1497.9557007359997
29,Stainless Steel,304 #4 Finish,48x144,20,0.0359,4.07,48.0,144.0,0.289,248.1408,71.7126912,2079.6680447999997,8464.248942336
25,Aluminized Steel,Type 1,48x96,16,0.0595,0.96,48.0,96.0,0.284,274.176,77.86598399999998,1946.6495999999995,1868.7836159999995
39,Copper,C122,36x96,28,0.0149,5.39,36.0,96.0,0.321,51.4944,16.5297024,644.6583936000001,3474.708741504
49,Cold Rolled Steel,A1008,60x120,24,0.0239,0.6,60.0,120.0,0.284,172.08,48.87072,2394.6652799999997,1436.7991679999998
37,Galvanized Steel,G90,72x144,24,0.0239,1.04,72.0,144.0,0.284,247.79520000000002,70.3738368,2603.8319616000003,2707.9852400640007
18,Aluminized Steel,Type 2,72x144,24,0.0239,1.07,72.0,144.0,0.284,247.79520000000002,70.3738368,1266.7290624000002,1355.4000967680004
22,Brass,C260,24x48,25,0.0209,4.92,24.0,48.0,0.307,24.0768,7.3915776,162.6147072,800.064359424
50,Cold Rolled Steel,A366,48x72,22,0.0299,0.65,48.0,72.0,0.284,103.3344,29.346969599999998,1467.3484799999999,953.7765119999999
50,Copper,C110,72x144,23,0.0269,5.38,72.0,144.0,0.321,278.8992,89.52664320000001,4476.332160000001,24082.667020800003
16,Aluminum,5052-H32,48x72,19,0.0418,1.95,48.0,72.0,0.098,144.46079999999998,14.157158399999998,226.51453439999997,441.7033420799999
30,Hot Rolled Steel,A36,48x72,12,0.1046,0.87,48.0,72.0,0.284,361.4976,102.66531839999999,3079.959552,2679.5648102399996
38,Stainless Steel,316L,48x96,24,0.0239,4.14,48.0,96.0,0.289,110.1312,31.8279168,1209.4608384,5007.167870976
35,Hot Rolled Steel,A1011,48x120,14,0.0747,0.92,48.0,120.0,0.284,430.272,122.19724799999999,4276.903679999999,3934.7513855999996
17,Cold Rolled Steel,A366,60x144,28,0.0149,0.55,60.0,144.0,0.284,128.736,36.561023999999996,621.5374079999999,341.8455744
39,Copper,C110,48x120,19,0.0418,5.62,48.0,120.0,0.321,240.76799999999997,77.28652799999999,3014.1745919999994,16939.661207039997
43,Copper,C122,48x120,12,0.1046,5.59,48.0,120.0,0.321,602.496,193.401216,8316.252288,46487.850289919996
3,Cold Rolled Steel,A366,60x144,10,0.1345,0.56,60.0,144.0,0.284,1162.0800000000002,330.03072000000003,990.0921600000001,554.4516096000001
46,Aluminum,3003-H14,48x120,29,0.0135,3.0,48.0,120.0,0.098,77.76,7.620480000000001,350.54208000000006,1051.62624
16,Aluminized Steel,Type 2,60x120,17,0.056,0.92,60.0,120.0,0.284,403.2,114.50879999999998,1832.1407999999997,1685.5695359999997
47,Copper,C122,24x48,26,0.0179,4.78,24.0,48.0,0.321,20.6208,6.6192768,311.1060096,1487.086725888
32,Galvanized Steel,G60,48x144,28,0.0149,0.89,48.0,144.0,0.284,102.9888,29.248819199999996,935.9622143999999,833.006370816
33,Brass,C360,72x144,18,0.0478,4.33,72.0,144.0,0.307,495.59040000000005,152.1462528,5020.826342400001,21740.178062592004
41,Cold Rolled Steel,A1008,48x72,21,0.0329,0.56,48.0,72.0,0.284,113.7024,32.2914816,1323.9507456,741.412417536
34,Aluminized Steel,Type 1,48x144,21,0.0329,0.93,48.0,144.0,0.284,227.4048,64.5829632,2195.8207488,2042.113296384
22,Aluminum,3003-H14,60x144,22,0.0299,2.34,60.0,144.0,0.098,258.336,25.316928,556.9724160000001,1303.31545344
5,Aluminized Steel,Type 1,36x72,25,0.0209,1.2,36.0,72.0,0.284,54.172799999999995,15.385075199999998,76.92537599999999,92.31045119999997
34,Copper,C110,36x120,28,0.0149,5.37,36.0,120.0,0.321,64.368,20.662128,702.512352,3772.49133024
16,Galvanized Steel,G60,60x120,20,0.0359,0.9,60.0,120.0,0.284,258.48,73.40832,1174.53312,1057.0798080000002
14,Aluminized Steel,Type 2,48x72,10,0.1345,0.98,48.0,72.0,0.284,464.83200000000005,132.012288,1848.1720320000002,1811.2085913600001
38,Stainless Steel,304 2B,48x120,27,0.0164,3.55,48.0,120.0,0.289,94.46400000000001,27.300096000000003,1037.4036480000002,3682.7829504000006
20,Aluminized Steel,Type 2,36x72,29,0.0135,1.09,36.0,72.0,0.284,34.992,9.937727999999998,198.75455999999997,216.64247039999998
5,Copper,C122,60x144,27,0.0164,5.54,60.0,144.0,0.321,141.696,45.484416,227.42208000000002,1259.9183232
35,Brass,C360,48x120,23,0.0269,4.17,48.0,120.0,0.307,154.944,47.56780799999999,1664.8732799999998,6942.521577599999
1,Aluminized Steel,Type 1,24x48,16,0.0595,0.92,24.0,48.0,0.284,68.544,19.466495999999996,19.466495999999996,17.909176319999997
6,Aluminum,3003-H14,36x120,25,0.0209,2.48,36.0,120.0,0.098,90.288,8.848224,53.089344,131.66157311999999
46,Hot Rolled Steel,A36,36x72,25,0.0209,0.57,36.0,72.0,0.284,54.172799999999995,15.385075199999998,707.7134591999999,403.3966717439999
25,Cold Rolled Steel,A1008,48x96,20,0.0359,0.83,48.0,96.0,0.284,165.4272,46.981324799999996,1174.5331199999998,974.8624895999998
39,Stainless Steel,304 2B,48x120,26,0.0179,4.14,48.0,120.0,0.289,103.104,29.797055999999998,1162.085184,4811.032661759999
22,Aluminum,3003-H14,48x96,14,0.0747,1.98,48.0,96.0,0.098,344.2176,33.7333248,742.1331455999999,1469.423628288
11,Cold Rolled Steel,A1008,24x48,18,0.0478,0.81,24.0,48.0,0.284,55.0656,15.6386304,172.0249344,139.340196864
31,Aluminum,3003-H14,60x120,19,0.0418,2.39,60.0,120.0,0.098,300.96,29.49408,914.31648,2185.2163872
