Quantity,Material,Grade,Stock Length (in),Cost per Stock Length (USD),Weight (lbs/ft),Total Length (ft),Total Weight (lb),Cost Per lb (USD),Total Cost
30,L8x8x3/8 Angle,ASTM A36,480,380,8.0,1200.0,9600.0,1.1875,11400
49,W8x18 Wide Flange Beam,ASTM A500 Grade B,120,200,18.0,490.0,8820.0,1.1111111111111112,9800
15,C10x15.3 Channel,ASTM A500 Grade B,240,270,15.3,300.0,4590.0,0.8823529411764706,4050
45,W6x12 Wide Flange Beam,ASTM A500 Grade B,240,320,12.0,900.0,10800.0,1.3333333333333333,14400
7,C10x15.3 Channel,ASTM A500 Grade B,480,500,15.3,280.0,4284.0,0.8169934640522876,3500
21,HSS8x8x1/2 Hollow Structural Section,ASTM A588,240,550,8.0,420.0,3360.0,3.4375,11550
21,C4x7.5 Channel,ASTM A572 Grade 50,240,160,7.5,420.0,3150.0,1.0666666666666667,3360
18,C8x11.5 Channel,ASTM A588,240,220,11.5,360.0,4140.0,0.9565217391304348,3960
45,HSS5x5x1/4 Hollow Structural Section,ASTM A500 Grade B,120,180,5.0,450.0,2250.0,3.6,8100
30,W10x30 Wide Flange Beam,ASTM A500 Grade C,120,400,30.0,300.0,9000.0,1.3333333333333333,12000
26,C8x11.5 Channel,ASTM A572 Grade 60,480,400,11.5,1040.0,11960.0,0.8695652173913043,10400
19,W8x18 Wide Flange Beam,ASTM A500 Grade C,120,200,18.0,190.0,3420.0,1.1111111111111112,3800
26,C4x7.5 Channel,ASTM A572 Grade 60,120,90,7.5,260.0,1950.0,1.2,2340
20,C10x15.3 Channel,ASTM A500 Grade C,240,270,15.3,400.0,6120.0,0.8823529411764706,5400
46,W10x30 Wide Flange Beam,ASTM A572 Grade 50,240,750,30.0,920.0,27600.0,1.25,34500
18,C8x11.5 Channel,ASTM A992,480,400,11.5,720.0,8280.0,0.8695652173913043,7200
28,W10x30 Wide Flange Beam,ASTM A36,120,400,30.0,280.0,8400.0,1.3333333333333333,11200
21,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,120,200,6.0,210.0,1260.0,3.3333333333333335,4200
24,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 60,240,380,6.0,480.0,2880.0,3.1666666666666665,9120
32,L4x4x1/4 Angle,ASTM A36,480,240,4.0,1280.0,5120.0,1.5,7680
42,W6x12 Wide Flange Beam,ASTM A709 Grade 50,240,320,12.0,840.0,10080.0,1.3333333333333333,13440
37,C12x20 Channel,ASTM A572 Grade 60,120,100,20.0,370.0,7400.0,0.5,3700
17,W12x50 Wide Flange Beam,ASTM A572 Grade 60,120,350,50.0,170.0,8500.0,0.7,5950
48,C8x11.5 Channel,ASTM A500 Grade B,120,120,11.5,480.0,5520.0,1.0434782608695652,5760
44,C8x11.5 Channel,ASTM A709 Grade 50,480,400,11.5,1760.0,20240.0,0.8695652173913043,17600
48,C8x18 Channel,ASTM A572 Grade 60,480,400,18.0,1920.0,34560.0,0.5555555555555556,19200
1,C10x15.3 Channel,ASTM A500 Grade C,240,270,15.3,20.0,306.0,0.8823529411764706,270
45,L6x6x1/2 Angle,ASTM A709 Grade 50,480,320,6.0,1800.0,10800.0,1.3333333333333333,14400
14,C10x15.3 Channel,ASTM A36,120,150,15.3,140.0,2142.0,0.9803921568627451,2100
31,C10x25 Channel,ASTM A992,240,250,25.0,620.0,15500.0,0.5,7750
47,W10x30 Wide Flange Beam,ASTM A500 Grade B,480,1400,30.0,1880.0,56400.0,1.1666666666666667,65800
37,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,120,200,6.0,370.0,2220.0,3.3333333333333335,7400
11,L4x4x1/4 Angle,ASTM A588,240,120,4.0,220.0,880.0,1.5,1320
35,L3x3x1/4 Angle,ASTM A500 Grade B,120,40,3.0,350.0,1050.0,1.3333333333333333,1400
23,W8x18 Wide Flange Beam,ASTM A572 Grade 60,480,650,18.0,920.0,16560.0,0.9027777777777778,14950
3,C12x20 Channel,ASTM A500 Grade C,120,100,20.0,30.0,600.0,0.5,300
34,W12x50 Wide Flange Beam,ASTM A36,240,650,50.0,680.0,34000.0,0.65,22100
25,W12x50 Wide Flange Beam,ASTM A500 Grade C,480,1200,50.0,1000.0,50000.0,0.6,30000
23,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,120,150,4.0,230.0,920.0,3.75,3450
25,W14x30 Wide Flange Beam,ASTM A572 Grade 60,480,1200,30.0,1000.0,30000.0,1.0,30000
38,C8x18 Channel,ASTM A36,240,210,18.0,760.0,13680.0,0.5833333333333334,7980
27,HSS5x5x1/4 Hollow Structural Section,ASTM A709 Grade 50,120,180,5.0,270.0,1350.0,3.6,4860
26,L8x8x3/8 Angle,ASTM A709 Grade 50,480,380,8.0,1040.0,8320.0,1.1875,9880
5,W10x30 Wide Flange Beam,ASTM A500 Grade C,240,750,30.0,100.0,3000.0,1.25,3750
22,C12x20 Channel,ASTM A36,240,200,20.0,440.0,8800.0,0.5,4400
42,C8x18 Channel,ASTM A588,480,400,18.0,1680.0,30240.0,0.5555555555555556,16800
34,C8x18 Channel,ASTM A500 Grade C,240,210,18.0,680.0,12240.0,0.5833333333333334,7140
31,C4x7.5 Channel,ASTM A709 Grade 50,480,300,7.5,1240.0,9300.0,1.0,9300
17,W14x30 Wide Flange Beam,ASTM A572 Grade 60,480,1200,30.0,680.0,20400.0,1.0,20400
12,W10x22 Wide Flange Beam,ASTM A36,120,250,22.0,120.0,2640.0,1.1363636363636365,3000
10,L8x8x3/8 Angle,ASTM A500 Grade B,120,100,8.0,100.0,800.0,1.25,1000
12,W10x22 Wide Flange Beam,ASTM A992,120,250,22.0,120.0,2640.0,1.1363636363636365,3000
32,HSS6x6x3/8 Hollow Structural Section,ASTM A992,120,200,6.0,320.0,1920.0,3.3333333333333335,6400
22,L3x3x1/4 Angle,ASTM A992,240,80,3.0,440.0,1320.0,1.3333333333333333,1760
2,C8x11.5 Channel,ASTM A572 Grade 50,240,220,11.5,40.0,460.0,0.9565217391304348,440
49,C8x18 Channel,ASTM A500 Grade C,120,110,18.0,490.0,8820.0,0.6111111111111112,5390
33,HSS6x6x3/8 Hollow Structural Section,ASTM A588,120,200,6.0,330.0,1980.0,3.3333333333333335,6600
22,C10x25 Channel,ASTM A588,120,130,25.0,220.0,5500.0,0.52,2860
25,L3x3x1/4 Angle,ASTM A572 Grade 60,120,40,3.0,250.0,750.0,1.3333333333333333,1000
36,W8x18 Wide Flange Beam,ASTM A500 Grade C,480,650,18.0,1440.0,25920.0,0.9027777777777778,23400
26,C4x7.5 Channel,ASTM A992,240,160,7.5,520.0,3900.0,1.0666666666666667,4160
20,C10x25 Channel,ASTM A572 Grade 60,120,130,25.0,200.0,5000.0,0.52,2600
41,L8x8x3/8 Angle,ASTM A500 Grade B,240,190,8.0,820.0,6560.0,1.1875,7790
35,C12x20 Channel,ASTM A709 Grade 50,240,200,20.0,700.0,14000.0,0.5,7000
27,W10x22 Wide Flange Beam,ASTM A500 Grade B,240,450,22.0,540.0,11880.0,1.0227272727272727,12150
26,C8x18 Channel,ASTM A500 Grade B,480,400,18.0,1040.0,18720.0,0.5555555555555556,10400
13,L6x6x1/2 Angle,ASTM A36,120,80,6.0,130.0,780.0,1.3333333333333333,1040
30,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,240,380,6.0,600.0,3600.0,3.1666666666666665,11400
4,C10x25 Channel,ASTM A992,480,470,25.0,160.0,4000.0,0.47,1880
33,HSS6x6x3/8 Hollow Structural Section,ASTM A588,480,720,6.0,1320.0,7920.0,3.0,23760
38,W6x12 Wide Flange Beam,ASTM A36,240,320,12.0,760.0,9120.0,1.3333333333333333,12160
36,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,120,150,4.0,360.0,1440.0,3.75,5400
40,L8x8x3/8 Angle,ASTM A572 Grade 50,240,190,8.0,800.0,6400.0,1.1875,7600
42,C10x25 Channel,ASTM A588,480,470,25.0,1680.0,42000.0,0.47,19740
22,C10x25 Channel,ASTM A709 Grade 50,480,470,25.0,880.0,22000.0,0.47,10340
22,C10x25 Channel,ASTM A572 Grade 60,240,250,25.0,440.0,11000.0,0.5,5500
7,C8x11.5 Channel,ASTM A709 Grade 50,480,400,11.5,280.0,3220.0,0.8695652173913043,2800
12,W8x18 Wide Flange Beam,ASTM A36,120,200,18.0,120.0,2160.0,1.1111111111111112,2400
18,W6x12 Wide Flange Beam,ASTM A992,240,320,12.0,360.0,4320.0,1.3333333333333333,5760
49,L6x6x1/2 Angle,ASTM A572 Grade 50,480,320,6.0,1960.0,11760.0,1.3333333333333333,15680
13,W12x50 Wide Flange Beam,ASTM A572 Grade 60,240,650,50.0,260.0,13000.0,0.65,8450
26,W8x18 Wide Flange Beam,ASTM A36,120,200,18.0,260.0,4680.0,1.1111111111111112,5200
35,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 60,240,380,6.0,700.0,4200.0,3.1666666666666665,13300
49,L6x6x1/2 Angle,ASTM A992,240,160,6.0,980.0,5880.0,1.3333333333333333,7840
22,W8x18 Wide Flange Beam,ASTM A709 Grade 50,240,350,18.0,440.0,7920.0,0.9722222222222222,7700
29,C8x11.5 Channel,ASTM A709 Grade 50,120,120,11.5,290.0,3335.0,1.0434782608695652,3480
42,C8x11.5 Channel,ASTM A572 Grade 60,240,220,11.5,840.0,9660.0,0.9565217391304348,9240
25,W10x22 Wide Flange Beam,ASTM A500 Grade C,120,250,22.0,250.0,5500.0,1.1363636363636365,6250
24,W8x18 Wide Flange Beam,ASTM A992,480,650,18.0,960.0,17280.0,0.9027777777777778,15600
5,W12x50 Wide Flange Beam,ASTM A36,240,650,50.0,100.0,5000.0,0.65,3250
44,W12x50 Wide Flange Beam,ASTM A500 Grade B,240,650,50.0,880.0,44000.0,0.65,28600
34,C12x20 Channel,ASTM A500 Grade C,240,200,20.0,680.0,13600.0,0.5,6800
18,C10x15.3 Channel,ASTM A992,240,270,15.3,360.0,5508.0,0.8823529411764706,4860
5,W10x22 Wide Flange Beam,ASTM A588,240,450,22.0,100.0,2200.0,1.0227272727272727,2250
12,W10x30 Wide Flange Beam,ASTM A500 Grade B,240,750,30.0,240.0,7200.0,1.25,9000
43,W14x30 Wide Flange Beam,ASTM A992,240,650,30.0,860.0,25800.0,1.0833333333333333,27950
26,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,240,380,6.0,520.0,3120.0,3.1666666666666665,9880
34,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,480,720,6.0,1360.0,8160.0,3.0,24480
50,W8x18 Wide Flange Beam,ASTM A572 Grade 50,120,200,18.0,500.0,9000.0,1.1111111111111112,10000
28,W10x30 Wide Flange Beam,ASTM A500 Grade C,240,750,30.0,560.0,16800.0,1.25,21000
48,W12x50 Wide Flange Beam,ASTM A36,120,350,50.0,480.0,24000.0,0.7,16800
11,L4x4x1/4 Angle,ASTM A992,120,60,4.0,110.0,440.0,1.5,660
26,HSS8x8x1/2 Hollow Structural Section,ASTM A992,120,300,8.0,260.0,2080.0,3.75,7800
7,HSS5x5x1/4 Hollow Structural Section,ASTM A500 Grade C,480,650,5.0,280.0,1400.0,3.25,4550
32,C12x20 Channel,ASTM A588,240,200,20.0,640.0,12800.0,0.5,6400
28,C12x20 Channel,ASTM A709 Grade 50,480,380,20.0,1120.0,22400.0,0.475,10640
18,L4x4x1/4 Angle,ASTM A572 Grade 50,120,60,4.0,180.0,720.0,1.5,1080
1,C10x25 Channel,ASTM A500 Grade C,480,470,25.0,40.0,1000.0,0.47,470
42,L6x6x1/2 Angle,ASTM A500 Grade C,480,320,6.0,1680.0,10080.0,1.3333333333333333,13440
5,C10x25 Channel,ASTM A992,120,130,25.0,50.0,1250.0,0.52,650
45,HSS5x5x1/4 Hollow Structural Section,ASTM A500 Grade B,240,350,5.0,900.0,4500.0,3.5,15750
14,C10x25 Channel,ASTM A500 Grade C,240,250,25.0,280.0,7000.0,0.5,3500
17,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,240,380,6.0,340.0,2040.0,3.1666666666666665,6460
5,C4x7.5 Channel,ASTM A992,480,300,7.5,200.0,1500.0,1.0,1500
37,C8x11.5 Channel,ASTM A572 Grade 60,240,220,11.5,740.0,8510.0,0.9565217391304348,8140
38,C10x25 Channel,ASTM A572 Grade 50,480,470,25.0,1520.0,38000.0,0.47,17860
39,W10x30 Wide Flange Beam,ASTM A572 Grade 50,480,1400,30.0,1560.0,46800.0,1.1666666666666667,54600
2,W8x18 Wide Flange Beam,ASTM A572 Grade 60,240,350,18.0,40.0,720.0,0.9722222222222222,700
21,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,240,280,4.0,420.0,1680.0,3.5,5880
34,W8x18 Wide Flange Beam,ASTM A36,240,350,18.0,680.0,12240.0,0.9722222222222222,11900
31,W12x50 Wide Flange Beam,ASTM A992,480,1200,50.0,1240.0,62000.0,0.6,37200
39,C10x15.3 Channel,ASTM A500 Grade B,480,500,15.3,1560.0,23868.0,0.8169934640522876,19500
35,C8x18 Channel,ASTM A500 Grade C,120,110,18.0,350.0,6300.0,0.6111111111111112,3850
28,C10x25 Channel,ASTM A709 Grade 50,480,470,25.0,1120.0,28000.0,0.47,13160
4,C4x7.5 Channel,ASTM A992,120,90,7.5,40.0,300.0,1.2,360
13,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,240,280,4.0,260.0,1040.0,3.5,3640
4,W8x18 Wide Flange Beam,ASTM A588,240,350,18.0,80.0,1440.0,0.9722222222222222,1400
18,L4x4x1/4 Angle,ASTM A709 Grade 50,120,60,4.0,180.0,720.0,1.5,1080
49,W14x30 Wide Flange Beam,ASTM A500 Grade C,240,650,30.0,980.0,29400.0,1.0833333333333333,31850
1,W12x50 Wide Flange Beam,ASTM A572 Grade 50,240,650,50.0,20.0,1000.0,0.65,650
7,C4x7.5 Channel,ASTM A588,480,300,7.5,280.0,2100.0,1.0,2100
35,C8x18 Channel,ASTM A588,120,110,18.0,350.0,6300.0,0.6111111111111112,3850
4,C4x7.5 Channel,ASTM A572 Grade 60,240,160,7.5,80.0,600.0,1.0666666666666667,640
46,HSS6x6x3/8 Hollow Structural Section,ASTM A992,480,720,6.0,1840.0,11040.0,3.0,33120
5,C8x18 Channel,ASTM A572 Grade 60,120,110,18.0,50.0,900.0,0.6111111111111112,550
48,W12x50 Wide Flange Beam,ASTM A572 Grade 50,480,1200,50.0,1920.0,96000.0,0.6,57600
36,W12x50 Wide Flange Beam,ASTM A500 Grade B,480,1200,50.0,1440.0,72000.0,0.6,43200
30,C10x25 Channel,ASTM A500 Grade C,120,130,25.0,300.0,7500.0,0.52,3900
6,W10x30 Wide Flange Beam,ASTM A709 Grade 50,480,1400,30.0,240.0,7200.0,1.1666666666666667,8400
45,L3x3x1/4 Angle,ASTM A500 Grade C,120,40,3.0,450.0,1350.0,1.3333333333333333,1800
42,C10x15.3 Channel,ASTM A572 Grade 60,480,500,15.3,1680.0,25704.0,0.8169934640522876,21000
23,W10x30 Wide Flange Beam,ASTM A572 Grade 60,480,1400,30.0,920.0,27600.0,1.1666666666666667,32200
35,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,240,380,6.0,700.0,4200.0,3.1666666666666665,13300
45,L3x3x1/4 Angle,ASTM A500 Grade C,480,160,3.0,1800.0,5400.0,1.3333333333333333,7200
37,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,480,540,4.0,1480.0,5920.0,3.375,19980
5,HSS4x4x1/4 Hollow Structural Section,ASTM A992,480,540,4.0,200.0,800.0,3.375,2700
18,W10x30 Wide Flange Beam,ASTM A572 Grade 50,120,400,30.0,180.0,5400.0,1.3333333333333333,7200
20,L3x3x1/4 Angle,ASTM A500 Grade B,480,160,3.0,800.0,2400.0,1.3333333333333333,3200
18,HSS5x5x1/4 Hollow Structural Section,ASTM A588,240,350,5.0,360.0,1800.0,3.5,6300
22,HSS5x5x1/4 Hollow Structural Section,ASTM A992,120,180,5.0,220.0,1100.0,3.6,3960
20,C12x20 Channel,ASTM A588,480,380,20.0,800.0,16000.0,0.475,7600
11,C12x20 Channel,ASTM A572 Grade 50,240,200,20.0,220.0,4400.0,0.5,2200
32,C12x20 Channel,ASTM A992,120,100,20.0,320.0,6400.0,0.5,3200
8,L6x6x1/2 Angle,ASTM A709 Grade 50,480,320,6.0,320.0,1920.0,1.3333333333333333,2560
19,W6x12 Wide Flange Beam,ASTM A588,480,600,12.0,760.0,9120.0,1.25,11400
3,L3x3x1/4 Angle,ASTM A572 Grade 60,240,80,3.0,60.0,180.0,1.3333333333333333,240
43,W14x30 Wide Flange Beam,ASTM A572 Grade 50,120,350,30.0,430.0,12900.0,1.1666666666666667,15050
27,W12x50 Wide Flange Beam,ASTM A588,120,350,50.0,270.0,13500.0,0.7,9450
41,HSS4x4x1/4 Hollow Structural Section,ASTM A36,120,150,4.0,410.0,1640.0,3.75,6150
38,C8x11.5 Channel,ASTM A572 Grade 50,240,220,11.5,760.0,8740.0,0.9565217391304348,8360
44,C12x20 Channel,ASTM A992,480,380,20.0,1760.0,35200.0,0.475,16720
35,L6x6x1/2 Angle,ASTM A992,240,160,6.0,700.0,4200.0,1.3333333333333333,5600
27,W6x12 Wide Flange Beam,ASTM A572 Grade 50,480,600,12.0,1080.0,12960.0,1.25,16200
34,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade C,120,300,8.0,340.0,2720.0,3.75,10200
3,W8x18 Wide Flange Beam,ASTM A572 Grade 60,480,650,18.0,120.0,2160.0,0.9027777777777778,1950
5,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 50,120,300,8.0,50.0,400.0,3.75,1500
11,C4x7.5 Channel,ASTM A588,480,300,7.5,440.0,3300.0,1.0,3300
31,L6x6x1/2 Angle,ASTM A588,240,160,6.0,620.0,3720.0,1.3333333333333333,4960
4,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,120,200,6.0,40.0,240.0,3.3333333333333335,800
37,W12x50 Wide Flange Beam,ASTM A709 Grade 50,240,650,50.0,740.0,37000.0,0.65,24050
6,HSS6x6x3/8 Hollow Structural Section,ASTM A36,240,380,6.0,120.0,720.0,3.1666666666666665,2280
14,L8x8x3/8 Angle,ASTM A992,120,100,8.0,140.0,1120.0,1.25,1400
32,W12x50 Wide Flange Beam,ASTM A500 Grade C,480,1200,50.0,1280.0,64000.0,0.6,38400
43,W6x12 Wide Flange Beam,ASTM A572 Grade 50,240,320,12.0,860.0,10320.0,1.3333333333333333,13760
47,C10x25 Channel,ASTM A709 Grade 50,120,130,25.0,470.0,11750.0,0.52,6110
36,C10x15.3 Channel,ASTM A992,120,150,15.3,360.0,5508.0,0.9803921568627451,5400
12,HSS5x5x1/4 Hollow Structural Section,ASTM A992,120,180,5.0,120.0,600.0,3.6,2160
30,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 60,120,300,8.0,300.0,2400.0,3.75,9000
